,bar_orig,loc_match
596,EL TRIANGULO,SAN CRISTOBAL
597,TIBAQUE III,SAN CRISTOBAL
598,LAS GUACAMAYAS II,SAN CRISTOBAL
599,EL MUELLE,ENGATIVA
600,PARAMO,USAQUEN
601,BOSQUE DE PINOS III,USAQUEN
602,LOS ROSALES,CHAPINERO
603,EL BAGAZAL,CHAPINERO
604,EL REFUGIO,CHAPINERO
605,MIRANDELA,SUBA
606,PARIS,ENGATIVA
607,SANTA HELENITA,ENGATIVA
608,REMANSO,PUENTE ARANDA
609,SANTA LIBRADA,USME
610,MARIA CANO,CIUDAD BOLIVAR
611,LAS BRISAS,CIUDAD BOLIVAR
612,PARAMO IV,USAQUEN
613,CIUDAD HAYUELOS,FONTIBON
614,SAN FELIPE,BARRIOS UNIDOS
615,LOS LIBERTADORES,SAN CRISTOBAL
616,PROVIVIENDA ORIENTAL,KENNEDY
617,BOCHICA,PUENTE ARANDA
618,PROVIVIENDA,KENNEDY
619,TEJAR,PUENTE ARANDA
620,AUTOPISTA SUR,PUENTE ARANDA
621,LA TORRE,CIUDAD BOLIVAR
622,CASABLANCA SUBA URBANO,SUBA
623,CASABLANCA SUBA II,SUBA
624,NUEVA ZELANDIA,SUBA
625,TUNAL ORIENTAL,TUNJUELITO
626,ARABIA,CIUDAD BOLIVAR
627,SANTA HELENA,SUBA
628,CIUDAD LONDRES I,SAN CRISTOBAL
629,VERGEL OCCIDENTAL,KENNEDY
630,SANTA ROSA ALTA,SUMAPAZ
631,SAN LUIS ALTOS DEL CABO RURAL II,CHAPINERO
632,LA CAMPINA,KENNEDY
633,GRAN BRITALIA I,KENNEDY
634,RINCON DE SANTA INES,SUBA
635,LA ESTANCIA,CIUDAD BOLIVAR
636,TOCAIMITA SUR,USME
637,DESARROLLO BRAZUELOS,USME
638,EL MOCHUELO III,CIUDAD BOLIVAR
639,ESCUELA DE CARABINEROS,SUBA
640,JOSE JOAQUIN VARGAS,BARRIOS UNIDOS
641,LAS FLORES,SUBA
642,TAQUECITOS,SUMAPAZ
643,HOYA TEUSACA,SANTA FE
644,LAS GUACAMAYAS III,SAN CRISTOBAL
645,TUNA BAJA,SUBA
646,TIBABUYES,SUBA
647,LAS MERCEDES SUBA RURAL,SUBA
648,EL GUAVIO,SANTA FE
649,BOSQUE DE LOS ALPES,SAN CRISTOBAL
650,PARQUE NACIONAL ORIENTAL,SANTA FE
651,EL ROCIO,SANTA FE
652,LOS ALPES,SAN CRISTOBAL
653,EL NOGAL,CHAPINERO
654,EGIPTO,CANDELARIA
655,ESPARTILLAL,CHAPINERO
656,ALCAZARES NORTE,BARRIOS UNIDOS
657,CALVO SUR,SAN CRISTOBAL
658,TIBABITA,USAQUEN
659,CASABLANCA SUBA URBANO II,SUBA
660,BRAZUELOS OCCIDENTAL RURAL,USME
661,JIMENEZ DE QUESADA,BOSA
662,SIERRA MORENA,CIUDAD BOLIVAR
663,CIUDAD BOLIVAR RURAL I,CIUDAD BOLIVAR
664,QUINTA PAREDES,TEUSAQUILLO
665,MARLY,CHAPINERO
666,EL EJIDO,PUENTE ARANDA
667,SIBERIA URBANO,CHAPINERO
668,LA MARICHUELA,USME
669,CIUDADELA EL RECREO II,BOSA
670,LOS LAURELES SUR ORIENTAL I,SAN CRISTOBAL
671,SANTA RITA DE SUBA,SUBA
672,SANTA CECILIA,SUBA
673,EL ENSUENO,CIUDAD BOLIVAR
674,LA PENA,SANTA FE
675,LOS LACHES,SANTA FE
676,EL CHANCO I,FONTIBON
677,SAN VICENTE FERRER,TUNJUELITO
678,EL CARMEN,TUNJUELITO
679,SAMORE,TUNJUELITO
680,LA ORQUIDEA DE USME,USME
681,LA MERCED NORTE,BARRIOS UNIDOS
682,MUZU,TUNJUELITO
683,LA FAENA,ENGATIVA
684,PARAMO III RURAL,USAQUEN
685,QUIRIGUA II,ENGATIVA
686,INGEMAR I,CHAPINERO
687,PRADO VERANIEGO SUR,SUBA
688,DIANA TURBAY,RAFAEL URIBE URIBE
689,EL BOSQUE SUR ORIENTAL RURAL II,USME
690,SANTA BARBARA,CIUDAD BOLIVAR
691,LILIANA,USME
692,ATENAS,SAN CRISTOBAL
693,EL MOCHUELO IV,CIUDAD BOLIVAR
694,BOLONIA I,USME
695,ATLANTA,CIUDAD BOLIVAR
696,PORTAL RURAL II,USME
697,CIUDAD BOLIVAR,CIUDAD BOLIVAR
698,ENTRERIOS,BARRIOS UNIDOS
699,CIUDAD KENNEDY,KENNEDY
700,LA BELLEZA,SAN CRISTOBAL
701,TOCAIMITA ORIENTAL I,USME
702,LA MAGDALENA,KENNEDY
703,SAN ISIDRO RURAL II,CHAPINERO
704,BOSQUE DE MODELIA,FONTIBON
705,EL MADRIGAL,ENGATIVA
706,LA ESPERANZA SUR,USME
707,EL MOCHUELO II NORTE,CIUDAD BOLIVAR
708,SANTA CECILIA DE SUBA I,SUBA
709,SALITRE SUBA,SUBA
710,RINCON DE SUBA,SUBA
711,CASABLANCA SUBA,SUBA
712,SAN CRISTOBAL NORTE,USAQUEN
713,PASADENA,SUBA
714,PARAMO URBANO I,USAQUEN
715,SAN IGNACIO,ENGATIVA
716,CHUCUA DE LA VACA II,KENNEDY
717,TIMIZA B,KENNEDY
718,LA ANDREA,USME
719,EL RINCON NORTE,SUBA
720,EL NUEVO PORTAL,USME
721,LAS ACACIAS RURAL,KENNEDY
722,ISLANDIA,BOSA
723,LAS MARGARITAS,USME
724,EL PARAISO,CHAPINERO
725,LAGUNITAS,CIUDAD BOLIVAR
726,LOS ALAMOS,ENGATIVA
727,EL ISTMO,SUMAPAZ
728,SAN PEDRO SUR,USME
729,LAGUNA VERDE,SUMAPAZ
730,SANTA ROSA BAJA,SUMAPAZ
731,VILLA MAYOR ORIENTAL,ANTONIO NARIÑO
732,SAN GABRIEL NORTE II,USAQUEN
733,BELLA FLOR SUR,CIUDAD BOLIVAR
734,ARBORIZADORA BAJA,CIUDAD BOLIVAR
735,CIUDAD HUNZA,SUBA
736,ESTORIL,SUBA
737,SAN GABRIEL NORTE,USAQUEN
738,SANTA CECILIA DE SUBA I,ENGATIVA
739,RINCON ALTAMAR,SUBA
740,NUEVA GRANADA BOSA,BOSA
741,QUINDIO,SAN CRISTOBAL
742,SAN FRANCISCO,CIUDAD BOLIVAR
743,SAN DIEGO-BOSA,BOSA
744,TORCA II,USAQUEN
745,VILLA DEL PRADO,SUBA
746,GRANADA NORTE,SUBA
747,BRITALIA,SUBA
748,EL CHANCO II,FONTIBON
749,TERMINAL DE TRANSPORTES,FONTIBON
750,LA CABANA,USME
751,PARDO RUBIO,CHAPINERO
752,BOLIVIA,ENGATIVA
753,SALITRE OCCIDENTAL,FONTIBON
754,RAFAEL URIBE,BARRIOS UNIDOS
755,PINOS DE LOMBARDIA,SUBA
756,LA TRINIDAD,PUENTE ARANDA
757,LA REGADERA,USME
758,CIUDADELA COLSUBSIDIO,ENGATIVA
759,LOS NARANJOS,SUBA
760,CARACOLI,CIUDAD BOLIVAR
761,SAN ANTONIO ENGATIVA,ENGATIVA
762,EL CARMELO,KENNEDY
763,PASQUILLITA,CIUDAD BOLIVAR
764,PENALISA,SUMAPAZ
765,TIBABUYES II,SUBA
766,QUIBA URBANO,CIUDAD BOLIVAR
767,EL BOSQUE CENTRAL,USME
768,LAS VIOLETAS RURAL,USME
769,LAS MERCEDES,CIUDAD BOLIVAR
770,EL PORVENIR DE LOS SOCHES,USME
771,EL PORTAL DEL BRASIL,BOSA
772,CHIGUAZA RURAL,SAN CRISTOBAL
773,MONACO,SUBA
774,POTOSI,CIUDAD BOLIVAR
775,VILLA DIANA,USME
776,BOSQUE CALDERON,CHAPINERO
777,EL CHANCO RURAL III,FONTIBON
778,VILLA NELLY III SECTOR,KENNEDY
779,BOSA,BOSA
780,EL JARDIN,BOSA
781,PUERTA DEL SOL,SUBA
782,EL REFUGIO,FONTIBON
783,ATAHUALPA,FONTIBON
784,SAN JOSE DE FONTIBON,FONTIBON
785,BRISAS ALDEA FONTIBON,FONTIBON
786,VERSALLES FONTIBON,FONTIBON
787,DIANA TURBAY ARRAYANES,RAFAEL URIBE URIBE
788,BELLAVISTA SUR,SAN CRISTOBAL
789,GRANADA SUR,SAN CRISTOBAL
790,CIUDAD SALITRE SUR-ORIENTAL,TEUSAQUILLO
791,EL CEREZO,USAQUEN
792,MIRADOR DEL NORTE,USAQUEN
793,TIBABITA RURAL I,USAQUEN
794,SAN ANTONIO NOROCCIDENTAL,USAQUEN
795,EL TOBERIN,USAQUEN
796,EL VERVENAL,USAQUEN
797,BARRANCAS ORIENTAL RURAL,USAQUEN
798,LA CITA,USAQUEN
799,LAS ACACIAS,CHAPINERO
800,EL CHANCO RURAL II,FONTIBON
801,MARIA CRISTINA,CHAPINERO
802,LA SALLE,CHAPINERO
803,INGEMAR ORIENTAL RURAL,CHAPINERO
804,LA ESTRADA,ENGATIVA
805,ESPINO I,CIUDAD BOLIVAR
806,BUENAVISTA,USAQUEN
807,METROPOLIS,BARRIOS UNIDOS
808,ESCUELA MILITAR,BARRIOS UNIDOS
809,TIBABITA I,USAQUEN
810,VERBENAL SAN ANTONIO,USAQUEN
811,LA PRIMAVERA I,CIUDAD BOLIVAR
812,SABANA DE TIBABUYES NORTE,SUBA
813,SAN CAYETANO,SUBA
814,SAN JOSE DEL PRADO,SUBA
815,SAN EUSEBIO,PUENTE ARANDA
816,PARAMO URBANO,USAQUEN
817,MORAVIA,FONTIBON
818,BARAJAS NORTE,SUBA
819,EL GACO,ENGATIVA
820,VILLA CANDELARIA,CIUDAD BOLIVAR
821,BRAZUELOS OCCIDENTAL,USME
822,SERRANIAS I,USME
823,PATIO BONITO III,KENNEDY
824,MONTEBLANCO,USME
825,SAN LUIS,RAFAEL URIBE URIBE
826,SAN RAFAEL,PUENTE ARANDA
827,GRAN BRITALIA,KENNEDY
828,SAN BERNARDINO XVIII,BOSA
829,LA REQUILINA,USME
830,PIO XII,KENNEDY
831,SANTIAGO PEREZ,RAFAEL URIBE URIBE
832,EL PROGRESO USME,USME
833,EL REFUGIO I,CHAPINERO
834,AEROPUERTO EL DORADO,FONTIBON
835,LA CABANA FONTIBON,FONTIBON
836,CIUDADELA EL RECREO,BOSA
837,LAS DELICIAS DEL CARMEN II SECTOR,USAQUEN
838,LA MAGDALENA I,KENNEDY
839,OSORIO IX,KENNEDY
840,EL SALTEADOR,USME
841,ESTACION CENTRAL,PUENTE ARANDA
842,EL PINAR,SAN CRISTOBAL
843,COLMENA I LOS PINARES,SAN CRISTOBAL
844,CIUDAD KENNEDY NORTE,KENNEDY
845,ARBORIZADORA ALTA,CIUDAD BOLIVAR
846,LA MERCED,SANTA FE
847,SAMPER MENDOZA,LOS MARTIRES
848,QUINTA CAMACHO,CHAPINERO
849,CHUCUA DE LA VACA I,KENNEDY
850,LAS ORQUIDEAS,USAQUEN
851,CORREDOR FERREO DEL SUR,PUENTE ARANDA
852,GARCES NAVAS ORIENTAL,ENGATIVA
853,NUEVO TECHO,KENNEDY
854,NICOLAS DE FEDERMAN,TEUSAQUILLO
855,DESARROLLO BRAZUELOS I,USME
856,LAS CRUCES,SANTA FE
857,CAMPIN OCCIDENTAL,TEUSAQUILLO
858,ROMA,KENNEDY
859,MONTEVIDEO,FONTIBON
860,CHUNIZA,USME
861,LA ESPERANZA NORTE,FONTIBON
862,ARRAYANES I,RAFAEL URIBE URIBE
863,SAN ISIDRO RURAL,CHAPINERO
864,CAPELLANIA,FONTIBON
865,ALCAZARES,BARRIOS UNIDOS
866,CAMPO EUCARISTICO,TEUSAQUILLO
867,MOCHUELO ALTO URBANO,CIUDAD BOLIVAR
868,LA REQUILINA RURAL,USME
869,MOCHUELO ALTO RURAL,CIUDAD BOLIVAR
870,ESPINO,CIUDAD BOLIVAR
871,VILLA ALSACIA II,KENNEDY
872,EL LISTON,LOS MARTIRES
873,GRANJAS DE SANTA SOFIA,RAFAEL URIBE URIBE
874,SAN ISIDRO,SAN CRISTOBAL
875,CENTRO USME RURAL I,USME
876,COOPERATIVA DE SUB-OFICIALES,KENNEDY
877,TIMIZA,KENNEDY
878,SANTA BARBARA OCCIDENTAL,USAQUEN
879,CHICO NORTE,CHAPINERO
880,JARDIN BOTANICO,ENGATIVA
881,CIUDAD KENNEDY ORIENTAL,KENNEDY
882,LA CAMELIA,PUENTE ARANDA
883,PUEBLO VIEJO,FONTIBON
884,ONCE DE NOVIEMBRE,BARRIOS UNIDOS
885,MODELIA,FONTIBON
886,NUESTRA SENORA DEL ROSARIO,SUBA
887,PARQUE EL TUNAL,TUNJUELITO
888,VENECIA,TUNJUELITO
889,AURES II,SUBA
890,VENECIA OCCIDENTAL,TUNJUELITO
891,SAN BERNARDINO XXV,BOSA
892,LAS ANIMAS,SUMAPAZ
893,SAN LUIS ALTOS DEL CABO RURAL,CHAPINERO
894,VILLA ALCAZAR,SUBA
895,SUBA URBANO,SUBA
896,TOCAIMITA ORIENTAL,USME
897,TUNA RURAL,SUBA
898,CIUDAD BACHUE,ENGATIVA
899,CHICO NORTE III SECTOR,CHAPINERO
900,SANTA BIBIANA,USAQUEN
901,ANDES NORTE,SUBA
902,JULIO FLOREZ,SUBA
903,MANDALAY,KENNEDY
904,SAN JUAN URBANO,SUMAPAZ
905,EL TINTAL III,KENNEDY
906,GINEBRA II,USAQUEN
907,GRANADA SUR,USME
908,ENGATIVA ZONA URBANA,ENGATIVA
909,CENTRO USME URBANO,USME
910,PORCIUNCULA,CHAPINERO
911,OSORIO II,KENNEDY
912,LA ESTACION BOSA,BOSA
913,VILLA ISRAEL,USME
914,SAN ANTONIO URBANO,ENGATIVA
915,PUENTE GRANDE,FONTIBON
916,VISION DE ORIENTE,KENNEDY
917,CHAPINERO NORTE,CHAPINERO
918,SAN FRANCISCO RURAL,SANTA FE
919,BAQUERO,BARRIOS UNIDOS
920,PAULO VI,TEUSAQUILLO
921,SANTA LIBRADA NORTE,USME
922,LAS LOMAS,SAN CRISTOBAL
923,LA CANDELARIA,SUBA
924,SAN RAFAEL INDUSTRIAL,PUENTE ARANDA
925,BOSQUE POPULAR,ENGATIVA
926,CATALINA,KENNEDY
927,EL TESORO,CIUDAD BOLIVAR
928,ESCOCIA,BOSA
929,CIUDAD KENNEDY SUR,KENNEDY
930,SANTA INES SUR II,SAN CRISTOBAL
931,VILLA DEL RIO,BOSA
932,SANTA SOFIA,BARRIOS UNIDOS
933,NORMANDIA,ENGATIVA
934,EL DORADO INDUSTRIAL,ENGATIVA
935,LA LAGUNA FONTIBON,FONTIBON
936,LA ESPERANZA DE USME,USME
937,LA ARBOLEDA RURAL,SAN CRISTOBAL
938,SURAMERICA,SAN CRISTOBAL
939,PRIMAVERA II,CIUDAD BOLIVAR
940,TIMIZA A,KENNEDY
941,EL ROSARIO,BARRIOS UNIDOS
942,LA PAZ,BARRIOS UNIDOS
943,SAN FERNANDO,BARRIOS UNIDOS
944,SAN FRANCISCO,PUENTE ARANDA
945,VILLEMAR,FONTIBON
946,LA CABRERA,CHAPINERO
947,DIANA TURBAY CULTIVOS,RAFAEL URIBE URIBE
948,SAN PEDRO,FONTIBON
949,MONTE CARLO,SAN CRISTOBAL
950,CASA DE TEJA,CIUDAD BOLIVAR
951,MUEQUETA,BARRIOS UNIDOS
952,QUIRIGUA I,ENGATIVA
953,INTERINDUSTRIAL,FONTIBON
954,SIERRA MORENA,CIUDAD BOLIVAR
955,HORIZONTES NORTE,USAQUEN
956,SAN VICENTE,SAN CRISTOBAL
957,BARRANCAS ORIENTAL,USAQUEN
958,PARQUE DISTRITAL SALITRE,BARRIOS UNIDOS
959,VOTO NACIONAL,LOS MARTIRES
960,PUERTA AL LLANO RURAL,USME
961,VILLAS EL DIAMANTE,CIUDAD BOLIVAR
962,ARRAYANES VI,USME
963,LAS FERIAS,ENGATIVA
964,PALO BLANCO,ENGATIVA
965,SAN BERNARDINO I,BOSA
966,EL VIRREY,USME
967,LA PRADERA,PUENTE ARANDA
968,CHIGUAZA URBANO,SAN CRISTOBAL
969,SANTA LUCIA,TUNJUELITO
970,BRAVO PAEZ,RAFAEL URIBE URIBE
971,SANTA CECILIA PUENTE NORTE,USAQUEN
972,OLAYA,RAFAEL URIBE URIBE
973,QUIROGA CENTRAL,RAFAEL URIBE URIBE
974,SANTANDER,ANTONIO NARIÑO
975,CENTENARIO,RAFAEL URIBE URIBE
976,MURILLO TORO,RAFAEL URIBE URIBE
977,CHARCO URBANO,FONTIBON
978,DUITAMA,USME
979,CENTRO USME RURAL,USME
980,DANUBIO II,USME
981,SIBERIA CENTRAL,CHAPINERO
982,MORALBA,SAN CRISTOBAL
983,SAN BERNARDINO XIX,BOSA
984,PATIO BONITO II,KENNEDY
985,ESCUELA GENERAL SANTANDER,TUNJUELITO
986,ESCOCIA,BOSA
987,EL TINTAL CENTRAL,FONTIBON
988,SAN JAVIER,SAN CRISTOBAL
989,DOCE DE OCTUBRE,BARRIOS UNIDOS
990,LA LIBERTAD,BARRIOS UNIDOS
991,TIHUAQUE,USME
992,LIBERTADOR,RAFAEL URIBE URIBE
993,HIPOTECHO,KENNEDY
994,SOTAVENTO,CIUDAD BOLIVAR
995,TOCAREMA,KENNEDY
996,BOITA,BOSA
997,BARLOVENTO,CIUDAD BOLIVAR
998,ISMAEL PERDOMO,CIUDAD BOLIVAR
999,CAPITOLIO,SUMAPAZ
1000,GARCES NAVAS SUR,ENGATIVA
1001,LAS BRISAS,SAN CRISTOBAL
1002,QUIBA BAJO,CIUDAD BOLIVAR
1003,LA INDEPENDENCIA,BOSA
1004,BOCHICA,ENGATIVA
1005,VERONA,CIUDAD BOLIVAR
1006,SAN PEDRO,SAN CRISTOBAL
1007,POPULAR MODELO,BARRIOS UNIDOS
1008,SAN PATRICIO,USAQUEN
1009,VILLA SAGRARIO,ENGATIVA
1010,SAN BERNARDINO II,BOSA
1011,SAN BLAS,SAN CRISTOBAL
1012,EL PARAISO,SAN CRISTOBAL
1013,CARMEN DEL SOL,RAFAEL URIBE URIBE
1014,PUENTE COLORADO,SAN CRISTOBAL
1015,SIERRA MORENA,CIUDAD BOLIVAR
1016,CONEJERA,SUBA
1017,GALICIA,CIUDAD BOLIVAR
1018,RINCON DE GALICIA,CIUDAD BOLIVAR
1019,PERDOMO ALTO,CIUDAD BOLIVAR
1020,CENTRO USME RURAL II,USME
1021,ALMIRANTE COLON,SUBA
1022,LA CATEDRAL,CANDELARIA
1023,EL BOSQUE CENTRAL I,USME
1024,DANUBIO,USME
1025,LAS PALMAS,SUMAPAZ
1026,EL REAL,ENGATIVA
1027,LECH WALESA,SUBA
1028,TUNA,SUBA
1029,VERAGUAS,LOS MARTIRES
1030,NUEVA GLORIA,SAN CRISTOBAL
1031,PUENTE ARANDA,PUENTE ARANDA
1032,BANCO CENTRAL,TEUSAQUILLO
1033,EL SATELITE,CIUDAD BOLIVAR
1034,LA REFORMA,USME
1035,AUTOPISTA MUZU ORIENTAL,PUENTE ARANDA
1036,CATALINA II,KENNEDY
1037,BOLONIA I,USME
1038,PRIMAVERA OCCIDENTAL,PUENTE ARANDA
1039,EL MOCHUELO URBANO,CIUDAD BOLIVAR
1040,SANTANDER SUR,ANTONIO NARIÑO
1041,LOS OLIVARES,USME
1042,EL PORTAL URBANO,USME
1043,EL PEDREGAL II,USME
1044,CIUDAD BERNA,ANTONIO NARIÑO
1045,CEMENTERIO JARDINES APOGEO,BOSA
1046,EL CORZO,BOSA
1047,LA FISCALA NORTE,USME
1048,EL TUNO,USME
1049,PALERMO SUR,RAFAEL URIBE URIBE
1050,RESTREPO OCCIDENTAL,ANTONIO NARIÑO
1051,LA FRAGUA,ANTONIO NARIÑO
1052,SANTA ISABEL SUR,LOS MARTIRES
1053,SENA,ANTONIO NARIÑO
1054,RESTREPO,ANTONIO NARIÑO
1055,SAN PEDRO DE LOS ROBLES,FONTIBON
1056,MARCO FIDEL SUAREZ I,TUNJUELITO
1057,ANDALUCIA II,BOSA
1058,BRASIL,BOSA
1059,LAS AURAS,SUMAPAZ
1060,JUAN JOSE RONDON,CIUDAD BOLIVAR
1061,CIUDAD KENNEDY CENTRAL,KENNEDY
1062,LAGO DE SUBA,SUBA
1063,LAS VILLAS,SUBA
1064,LISBOA,SUBA
1065,SAN ISIDRO RURAL,CHAPINERO
1066,GILMAR,SUBA
1067,JERUSALEN,CIUDAD BOLIVAR
1068,YOMASA,SAN CRISTOBAL
1069,LA UNION,USME
1070,EL REDIL,USAQUEN
1071,EL POA,SUBA
1072,CORDILLERA DEL SUR,CIUDAD BOLIVAR
1073,SANTO DOMINGO,SUMAPAZ
1074,SAN CARLOS,TUNJUELITO
1075,MARANDU,ENGATIVA
1076,LA ESMERALDA,TEUSAQUILLO
1077,CAMPIN,TEUSAQUILLO
1078,DONA LILIANA,USME
1079,PASQUILLA URBANA,CIUDAD BOLIVAR
1080,BONANZA,ENGATIVA
1081,MODELIA OCCIDENTAL,FONTIBON
1082,LA PRADERA,CIUDAD BOLIVAR
1083,VEREDA SUBA NARANJOS,SUBA
1084,GORGONZOLA,PUENTE ARANDA
1085,ANTONIA SANTOS,BOSA
1086,ALQUERIA LA FRAGUA NORTE,KENNEDY
1087,EL VERGEL ORIENTAL,KENNEDY
1088,BELLA FLOR SUR RURAL,CIUDAD BOLIVAR
1089,GARCES NAVAS,ENGATIVA
1090,PARAMO II RURAL,USAQUEN
1091,SALAZAR GOMEZ,PUENTE ARANDA
1092,LA HUERTA,USME
1093,ARRAYANES V,USME
1094,SANTA ANA SUR,SAN CRISTOBAL
1095,LAS MERCEDES,SAN CRISTOBAL
1096,RAFAEL NUNEZ,TEUSAQUILLO
1097,LOS LAURELES II,CIUDAD BOLIVAR
1098,JUAN XXIII,CHAPINERO
1099,LA CECILIA,BOSA
1100,PUERTA AL LLANO DE USME,USME
1101,COLON,PUENTE ARANDA
1102,RONDA,CIUDAD BOLIVAR
1103,ALTOS DEL ZUQUE,SAN CRISTOBAL
1104,NUEVA YORK,KENNEDY
1105,LA AURORA,BARRIOS UNIDOS
1106,EL NEVADO II,USME
1107,JUAN XXIII,BARRIOS UNIDOS
1108,EL RETIRO,CHAPINERO
1109,LA SABANA,LOS MARTIRES
1110,GRANJAS DE TECHO,FONTIBON
1111,ALQUERIA LA FRAGUA II,KENNEDY
1112,VILLAS DEL PROGRESO,BOSA
1113,CASABLANCA,KENNEDY
1114,TAIRONA,KENNEDY
1115,NUEVA ESPERANZA,CIUDAD BOLIVAR
1116,CERROS DE ORIENTE,RAFAEL URIBE URIBE
1117,LOS ARRAYANES,USME
1118,EL TABACO,SUMAPAZ
1119,EL MIRADOR II,CIUDAD BOLIVAR
1120,CANAVERALEJO,BOSA
1121,ACACIAS USAQUEN,USAQUEN
1122,LA CABANA,USME
1123,MARIA PAZ,KENNEDY
1124,LAS MARGARITAS,USAQUEN
1125,CIUDAD SALITRE NOR-ORIENTAL,TEUSAQUILLO
1126,TUNAL ALTO,SUMAPAZ
1127,IBERIA,SUBA
1128,FERROCAJA FONTIBON,FONTIBON
1129,LAS MANAS,CIUDAD BOLIVAR
1130,PARAISO QUIBA,CIUDAD BOLIVAR
1131,CALLEJON SANTA BARBARA,RAFAEL URIBE URIBE
1132,BUENOS AIRES,SAN CRISTOBAL
1133,CIUDAD BOLIVAR RURAL III,CIUDAD BOLIVAR
1134,POTOSI,SUBA
1135,NIZA SUR,SUBA
1136,LOMBARDIA,SUBA
1137,CANAVERALEJO RURAL,BOSA
1138,PUENTE LARGO,SUBA
1139,BETANIA,BOSA
1140,LA VEGA SAN BERNARDINO,BOSA
1141,GALAN,KENNEDY
1142,FLORIDA BLANCA,ENGATIVA
1143,CIUDAD JARDIN NORTE,SUBA
1144,CHAPINERITO,USME
1145,SANTA BARBARA ORIENTAL,USAQUEN
1146,EL UVAL,USME
1147,SAN BENITO,TUNJUELITO
1148,TUNJUELITO,USME
1149,LAS MERCEDES SUBA,SUBA
1150,CIUDAD UNIVERSITARIA,TEUSAQUILLO
1151,LOS LAURELES,BOSA
1152,ALQUERIA,PUENTE ARANDA
1153,CIUDAD BACHUE I ETAPA,ENGATIVA
1154,OSORIO XII,KENNEDY
1155,LA FRAGUITA,ANTONIO NARIÑO
1156,REMANSO SUR,PUENTE ARANDA
1157,PARAMO II,CHAPINERO
1158,RINCON DEL CHICO,USAQUEN
1159,BELLA SUIZA,USAQUEN
1160,EL PARAISO BOSA,KENNEDY
1161,SAN JUAN,SUMAPAZ
1162,LA GLORIA ORIENTAL,SAN CRISTOBAL
1163,SANTA ANA OCCIDENTAL,USAQUEN
1164,LISBOA,USAQUEN
1165,PROVIVIENDA OCCIDENTAL,KENNEDY
1166,EL NUEVO PORTAL II,USME
1167,SANTA BARBARA CENTRAL,USAQUEN
1168,FISCALA ALTA,USME
